algorithm_name,makespan,cost,energy,dataset_used
SA_MultiObjective,178.4554,979.8688,40322.8188,task40
SA_MultiObjective,142.8977,888.4295,37469.6473,task40
SA_MultiObjective,145.4174,1005.7980,46992.3272,task40
SA_MultiObjective,135.1027,870.7676,40892.7967,task40
SA_MultiObjective,168.6033,992.1909,42093.0925,task40
SA_MultiObjective,158.0243,1061.9118,45756.5102,task40
SA_MultiObjective,141.4138,963.3338,37595.8463,task40
SA_MultiObjective,151.1613,898.6771,44029.8047,task40
SA_MultiObjective,150.4129,971.5903,42807.8463,task40
SA_MultiObjective,185.1366,969.6468,42601.0240,task40
SA_MultiObjective,167.2485,972.9032,42725.0198,task40
SA_MultiObjective,134.4007,872.1536,42772.0688,task40
SA_MultiObjective,146.9574,966.2253,39583.3232,task40
SA_MultiObjective,189.2669,993.2143,41467.1778,task40
SA_MultiObjective,137.6692,803.4114,35853.6443,task40
SA_MultiObjective,155.9545,775.1138,42463.8526,task40
SA_MultiObjective,181.5765,1006.4401,46236.5703,task40
SA_MultiObjective,173.6239,901.4434,47642.7031,task40
SA_MultiObjective,173.4910,995.8291,44801.0753,task40
SA_MultiObjective,141.6709,957.1956,37169.8105,task40
SA_MultiObjective,181.5739,869.0401,42262.7819,task40
SA_MultiObjective,116.3193,835.1293,35799.7135,task40
SA_MultiObjective,159.2523,992.1025,40205.1953,task40
SA_MultiObjective,211.2606,999.9327,49480.4175,task40
SA_MultiObjective,152.1923,951.7674,35555.5150,task40
SA_MultiObjective,143.2438,919.6317,45131.0766,task40
SA_MultiObjective,181.2343,862.4407,40102.6815,task40
SA_MultiObjective,164.2429,934.7468,40255.5027,task40
SA_MultiObjective,184.4711,932.0707,51162.1207,task40
SA_MultiObjective,150.1444,978.0606,41002.0748,task40
SA_MultiObjective,137.3229,989.8332,44328.9379,task40
SA_MultiObjective,152.1423,874.1217,42771.0377,task40
SA_MultiObjective,166.2950,820.2143,37807.2869,task40
SA_MultiObjective,144.4141,837.3421,33063.1405,task40
SA_MultiObjective,153.8840,979.0582,47414.8815,task40
SA_MultiObjective,156.8063,962.5686,44733.6418,task40
SA_MultiObjective,165.2552,946.5309,42491.4035,task40
SA_MultiObjective,166.2239,1017.4406,44890.2105,task40
SA_MultiObjective,169.7361,841.6605,41556.2558,task40
SA_MultiObjective,156.8305,946.8674,36416.1061,task40
SA_MultiObjective,162.0716,865.8592,38431.0835,task40
SA_MultiObjective,179.6678,1017.8659,39825.6835,task40
SA_MultiObjective,180.0198,1022.0663,44786.2031,task40
SA_MultiObjective,134.3635,812.5808,38004.2389,task40
SA_MultiObjective,137.7923,828.9480,36854.0156,task40
SA_MultiObjective,139.4392,859.6823,33572.7340,task40
SA_MultiObjective,169.9234,966.3727,47937.5500,task40
SA_MultiObjective,149.1887,862.7449,42667.5808,task40
SA_MultiObjective,172.5833,961.8314,45879.1238,task40
SA_MultiObjective,199.6479,989.6956,43236.0059,task40
SA_MultiObjective,139.4259,894.5793,32089.6085,task40
SA_MultiObjective,144.3595,947.7932,44788.7561,task40
SA_MultiObjective,168.3938,1019.2438,42218.1783,task40
SA_MultiObjective,140.4492,842.0401,38157.0907,task40
SA_MultiObjective,195.7548,932.8093,37881.9286,task40
SA_MultiObjective,160.2951,989.2282,42125.3104,task40
SA_MultiObjective,149.2926,912.7931,39550.9990,task40
SA_MultiObjective,138.5664,865.9401,36899.8426,task40
SA_MultiObjective,162.6939,960.2569,47705.4868,task40
SA_MultiObjective,148.3524,941.4117,50709.2196,task40
SA_MultiObjective,166.3706,959.7788,41928.4687,task40
SA_MultiObjective,171.9462,970.4401,49191.2416,task40
SA_MultiObjective,185.4641,983.2053,49227.8431,task40
SA_MultiObjective,139.9886,899.8459,47913.3333,task40
SA_MultiObjective,168.7855,934.8592,42478.0686,task40
SA_MultiObjective,159.3633,819.6709,46446.8372,task40
SA_MultiObjective,139.5315,943.9373,38564.5040,task40
SA_MultiObjective,156.8955,938.4804,46211.4990,task40
SA_MultiObjective,163.0122,955.6650,46572.7133,task40
SA_MultiObjective,164.2149,985.5838,48461.3906,task40
SA_MultiObjective,161.7086,880.4929,48004.8195,task40
SA_MultiObjective,174.7903,1061.2041,47660.4444,task40
SA_MultiObjective,156.6565,885.8146,34104.8575,task40
SA_MultiObjective,138.2736,1093.2826,46890.0380,task40
SA_MultiObjective,143.1089,805.4717,40646.8148,task40
